heure_solaire,mois,SAP_FLOW
21:30,5,0.0701426512645161
22:00,5,0.0632875870870968
22:30,5,0.0566966704225806
23:00,5,0.053112083
23:30,5,0.0373395624709677
00:00,6,0.02812049004
00:30,6,0.0247019382766667
01:00,6,0.0244604861466667
01:30,6,0.0253344363366667
02:00,6,0.02546489101
02:30,6,0.0267892354566667
03:00,6,0.0271746304033333
03:30,6,0.02931169483
04:00,6,0.03597587877
04:30,6,0.06414520504
05:00,6,0.188407742813333
05:30,6,0.5305878383
06:00,6,1.07016883606333
06:30,6,1.74694791411667
07:00,6,2.69836528551667
07:30,6,3.68454307686
08:00,6,4.60709197266
08:30,6,5.57766736883333
09:00,6,6.15872211139333
09:30,6,6.62595600739
10:00,6,6.84391469717
10:30,6,7.08838510745
11:00,6,7.34210613357667
11:30,6,7.47679462137667
12:00,6,7.11965042285
12:30,6,7.08090916241
13:00,6,6.84531492274
13:30,6,6.56159047979333
14:00,6,6.36456888388333
14:30,6,5.81778176758333
15:00,6,5.335298786
15:30,6,5.07836560360333
16:00,6,4.56356437867667
16:30,6,3.79278499953333
17:00,6,3.03399461051
17:30,6,2.25573524179333
18:00,6,1.51682555518667
18:30,6,0.904879952233333
19:00,6,0.5154044362
19:30,6,0.30829878618
20:00,6,0.197493479866667
20:30,6,0.13707908046
21:00,6,0.102036860343333
21:30,6,0.0797742269466667
22:00,6,0.06677168014
22:30,6,0.0568286358033333
23:00,6,0.04462557288
23:30,6,0.0322787353466667
00:00,7,0.0606333737870968
00:30,7,0.0526223196096774
01:00,7,0.0487004935870968
01:30,7,0.0464867151419355
02:00,7,0.0454204703483871
02:30,7,0.0444412786129032
03:00,7,0.0461470115741935
03:30,7,0.051321720216129
04:00,7,0.062421605383871
04:30,7,0.109894704906452
05:00,7,0.321741910590323
05:30,7,0.834217312167742
06:00,7,1.65734389150323
06:30,7,2.74486286319355
07:00,7,3.87625313123226
07:30,7,4.71856457351613
08:00,7,5.44460299581935
08:30,7,6.07257033652581
09:00,7,6.55727832013226
09:30,7,6.7771448311871
10:00,7,7.04014770920323
10:30,7,7.12766166082581
11:00,7,7.30358403248064
11:30,7,7.51987058144839
12:00,7,7.37426080071613
12:30,7,7.16175681815484
13:00,7,7.17639764628065
13:30,7,6.7343882607871
14:00,7,6.3875741905129
14:30,7,6.06381125556452
15:00,7,5.77355093170323
15:30,7,5.53172538832581
16:00,7,4.91448522308387
16:30,7,4.40977076012581
17:00,7,3.76696416065806
17:30,7,2.91652137280323
18:00,7,1.95813927555161
18:30,7,1.15338810195806
19:00,7,0.653403147667742
19:30,7,0.400648416548387
20:00,7,0.275015547593548
20:30,7,0.20399240613871
21:00,7,0.158976093254839
21:30,7,0.1282969259
22:00,7,0.108103579012903
22:30,7,0.0906107547612903
23:00,7,0.0789441833580645
23:30,7,0.0680138015516129
00:00,8,0.0911117522258064
00:30,8,0.0938148578580645
01:00,8,0.0950702820645161
01:30,8,0.0970308498483871
02:00,8,0.105394384877419
02:30,8,0.112408499093548
03:00,8,0.119745027709677
03:30,8,0.120756664054839
04:00,8,0.1213183733
04:30,8,0.138723036441935
05:00,8,0.219622508816129
05:30,8,0.382194818751613
06:00,8,0.657696195583871
06:30,8,1.23278236336452
07:00,8,1.86096701474194
07:30,8,2.58633567051613
08:00,8,3.40995686803871
08:30,8,4.18581406815161
09:00,8,4.69480985812581
09:30,8,5.24895346955161
10:00,8,5.61677377708387
10:30,8,5.92646354164516
11:00,8,6.28282371607742
11:30,8,6.16709512875484
12:00,8,6.01851785769355
12:30,8,5.88283944618065
13:00,8,5.60780871675484
13:30,8,5.38305027582581
14:00,8,5.2549566993129
14:30,8,5.06678951004839
15:00,8,4.72211378694839
15:30,8,4.14692593327419
16:00,8,3.58032906564194
16:30,8,2.90480895065161
17:00,8,2.11775271417419
